ts_ms,price,equity
1630368000000,245.24,119.319
1630454400000,244.697,118.775
1630540800000,244.13,118.209
1630627200000,244.523,118.602
1630972800000,250.973,125.052
1631059200000,251.29,125.369
1631145600000,251.62,125.699
1631232000000,245.423,119.502
1631491200000,247.667,121.745
1631577600000,248.163,122.242
1631664000000,251.943,126.022
1631750400000,252.33,126.409
1631836800000,253.163,127.242
1632096000000,243.39,117.469
1632182400000,246.46,120.539
1632268800000,250.647,124.725
1632355200000,251.213,125.292
1632441600000,258.13,132.209
1632700800000,263.787,137.865
1632787200000,259.187,133.265
1632873600000,260.437,134.515
1632960000000,258.493,132.572
1633046400000,258.407,132.485
1633305600000,260.51,134.589
1633392000000,260.197,134.275
1633478400000,260.917,134.995
1633564800000,264.537,138.615
1633651200000,261.83,135.909
1633910400000,263.98,138.059
1633996800000,268.573,142.652
1634083200000,270.36,144.439
1634169600000,272.773,146.852
1634256000000,281.01,155.089
1634515200000,290.037,164.115
1634601600000,288.09,162.169
1634688000000,288.6,162.679
1634774400000,298,172.079
1634860800000,303.227,177.305
1635120000000,341.62,215.699
1635206400000,339.477,213.555
1635292800000,345.953,220.032
1635379200000,359.013,233.092
1635465600000,371.333,245.412
1635724800000,402.863,276.942
1635811200000,390.667,264.745
1635897600000,404.62,278.699
1635984000000,409.97,284.049
1636070400000,407.363,281.442
1636329600000,387.647,261.725
1636416000000,341.167,215.245
1636502400000,355.983,230.062
1636588800000,354.503,228.582
1636675200000,344.473,218.552
1636934400000,337.797,211.875
1637020800000,351.577,225.655
1637107200000,363.003,237.082
1637193600000,365.46,239.539
1637280000000,379.02,253.099
1637539200000,385.623,259.702
1637625600000,369.677,243.755
1637712000000,372,246.079
1637884800000,360.64,234.719
1638144000000,378.997,253.075
1638230400000,381.587,255.665
1638316800000,365,239.079
1638403200000,361.533,235.612
1638489600000,338.323,212.402
1638748800000,336.337,210.315
1638835200000,350.583,210.315
1638921600000,356.32,210.208
1639008000000,334.6,188.387
1639094400000,339.01,188.387
1639353600000,322.137,188.387
1639440000000,319.503,188.387
1639526400000,325.33,188.387
1639612800000,308.973,188.387
1639699200000,310.857,188.387
1639958400000,299.98,188.387
1640044800000,312.843,188.387
1640131200000,336.29,188.387
1640217600000,355.667,188.387
1640563200000,364.647,188.278
1640649600000,362.823,186.455
1640736000000,362.063,185.695
1640822400000,356.78,180.411
1640908800000,352.26,175.891
1641168000000,399.927,223.558
1641254400000,383.197,206.828
1641340800000,362.707,186.338
1641427200000,354.9,178.531
1641513600000,342.32,165.849
1641772800000,352.707,165.849
1641859200000,354.8,165.742
1641945600000,368.74,179.682
1642032000000,343.853,154.795
1642118400000,349.87,160.707
1642464000000,343.503,160.707
1642550400000,331.883,160.707
1642636800000,332.09,160.707
1642723200000,314.633,160.707
1642982400000,310,160.707
1643068800000,306.133,160.707
1643155200000,312.47,160.707
1643241600000,276.367,160.707
1643328000000,282.117,160.707
1643587200000,312.24,160.707
1643673600000,310.417,160.707
1643760000000,301.887,160.707
1643846400000,297.047,160.707
1643932800000,307.773,160.707
1644192000000,302.447,160.707
1644278400000,307.333,160.707
1644364800000,310.667,160.707
1644451200000,301.517,160.707
1644537600000,286.667,160.707
1644796800000,291.92,160.707
1644883200000,307.477,160.707
1644969600000,307.797,160.707
1645056000000,292.117,160.707
1645142400000,285.66,160.707
1645488000000,273.843,160.707
1645574400000,254.68,160.707
1645660800000,266.923,160.707
1645747200000,269.957,160.707
1646006400000,290.143,160.707
1646092800000,288.123,160.707
1646179200000,293.297,160.707
1646265600000,279.763,160.707
1646352000000,279.43,160.707
1646611200000,268.193,160.707
1646697600000,274.8,160.707
1646784000000,286.323,160.707
1646870400000,279.433,160.707
1646956800000,265.117,160.707
1647216000000,255.457,160.707
1647302400000,267.297,160.707
1647388800000,280.077,160.707
1647475200000,290.533,160.707
1647561600000,301.797,160.617
1647820800000,307.053,165.873
1647907200000,331.327,190.147
1647993600000,333.037,191.857
1648080000000,337.973,196.793
1648166400000,336.88,195.7
1648425600000,363.947,222.767
1648512000000,366.523,225.343
1648598400000,364.663,223.483
1648684800000,359.2,218.02
1648771200000,361.53,220.35
1649030400000,381.817,240.637
1649116800000,363.753,222.573
1649203200000,348.587,207.407
1649289600000,352.42,211.24
1649376000000,341.83,200.65
1649635200000,325.31,184.13
1649721600000,328.983,187.803
1649808000000,340.79,199.61
1649894400000,328.333,187.153
1650240000000,334.763,193.583
1650326400000,342.717,201.537
1650412800000,325.733,184.553
1650499200000,336.26,195.08
1650585600000,335.017,193.837
1650844800000,332.673,191.493
1650931200000,292.14,150.872
1651017600000,293.837,150.872
1651104000000,292.503,150.872
1651190400000,290.253,150.872
1651449600000,300.98,150.872
1651536000000,303.083,150.872
1651622400000,317.54,150.872
1651708800000,291.093,150.872
1651795200000,288.55,150.872
1652054400000,262.37,150.872
1652140800000,266.68,150.872
1652227200000,244.667,150.872
1652313600000,242.667,150.872
1652400000000,256.53,150.872
1652659200000,241.457,150.872
1652745600000,253.87,150.872
1652832000000,236.603,150.872
1652918400000,236.473,150.872
1653004800000,221.3,150.872
1653264000000,224.967,150.872
1653350400000,209.387,150.872
1653436800000,219.6,150.872
1653523200000,235.91,150.872
1653609600000,253.21,150.872
1653955200000,252.753,150.872
1654041600000,246.79,150.872
1654128000000,258.333,150.872
1654214400000,234.517,150.872
1654473600000,238.28,150.872
1654560000000,238.887,150.872
1654646400000,241.867,150.872
1654732800000,239.707,150.872
1654819200000,232.23,150.872
1655078400000,215.737,150.872
1655164800000,220.89,150.872
1655251200000,233,150.872
1655337600000,213.1,150.872
1655424000000,216.76,150.872
1655769600000,237.037,150.872
1655856000000,236.087,150.872
1655942400000,235.07,150.872
1656028800000,245.707,150.872
1656288000000,244.92,150.872
1656374400000,232.663,150.872
1656460800000,228.49,150.872
1656547200000,224.473,150.872
1656633600000,227.263,150.872
1656979200000,233.067,150.872
1657065600000,231.733,150.872
1657152000000,244.543,150.799
1657238400000,250.763,157.019
1657497600000,234.343,140.599
1657584000000,233.07,139.256
1657670400000,237.04,139.256
1657756800000,238.313,139.184
1657843200000,240.067,140.938
1658102400000,240.547,141.418
1658188800000,245.53,146.401
1658275200000,247.5,148.371
1658361600000,271.707,172.578
1658448000000,272.243,173.114
1658707200000,268.433,169.304
1658793600000,258.86,159.731
1658880000000,274.82,175.691
1658966400000,280.9,181.771
1659052800000,297.15,198.021
1659312000000,297.277,198.148
1659398400000,300.587,201.458
1659484800000,307.397,208.268
1659571200000,308.633,209.504
1659657600000,288.17,189.041
1659916800000,290.423,191.294
1660003200000,283.333,184.204
1660089600000,294.357,195.228
1660176000000,286.63,187.501
1660262400000,300.03,200.901
1660521600000,309.32,210.191
1660608000000,306.563,207.434
1660694400000,303.997,204.868
1660780800000,302.87,203.741
1660867200000,296.667,197.538
1661126400000,289.913,190.784
1661212800000,296.453,197.324
1661299200000,297.097,197.968
1661385600000,296.07,196.941
1661472000000,288.09,188.961
1661731200000,284.82,185.691
1661817600000,277.7,178.571
1661904000000,275.61,176.398
1661990400000,277.16,176.398
1662076800000,270.21,176.398
1662422400000,274.42,176.398
1662508800000,283.7,176.398
1662595200000,289.26,176.312
1662681600000,299.68,186.732
1662940800000,304.42,191.472
1663027200000,292.13,179.182
1663113600000,302.61,189.662
1663200000000,303.75,190.802
1663286400000,303.35,190.402
1663545600000,309.07,196.122
1663632000000,308.73,195.782
1663718400000,300.8,187.852
1663804800000,288.59,175.642
1663891200000,275.33,162.299
1664150400000,276.01,162.299
1664236800000,282.94,162.299
1664323200000,287.81,162.299
1664409600000,268.21,162.299
1664496000000,265.25,162.299
1664755200000,242.4,162.299
1664841600000,249.44,162.299
1664928000000,240.81,162.299
1665014400000,238.13,162.299
1665100800000,223.07,162.299
1665360000000,222.96,162.299
1665446400000,216.5,162.299
1665532800000,217.24,162.299
1665619200000,221.72,162.299
1665705600000,204.99,162.299
1665964800000,219.35,162.299
1666051200000,220.19,162.299
1666137600000,222.04,162.299
1666224000000,207.28,162.299
1666310400000,214.44,162.299
1666569600000,211.25,162.299
1666656000000,222.415,162.299
1666742400000,224.64,162.299
1666828800000,225.09,162.299
1666915200000,228.52,162.299
1667174400000,227.54,162.299
1667260800000,227.82,162.299
1667347200000,214.98,162.299
1667433600000,215.31,162.299
1667520000000,207.47,162.299
1667779200000,197.08,162.299
1667865600000,191.3,162.299
1667952000000,177.59,162.299
1668038400000,190.72,162.299
1668124800000,195.97,162.299
1668384000000,190.95,162.299
1668470400000,194.42,162.299
1668556800000,186.92,162.299
1668643200000,183.17,162.299
1668729600000,180.19,162.299
1668988800000,167.87,162.299
1669075200000,169.91,162.299
1669161600000,183.2,162.299
1669334400000,182.86,162.299
1669593600000,182.92,162.299
1669680000000,180.83,162.299
1669766400000,194.7,162.299
1669852800000,194.7,162.299
1669939200000,194.86,162.299
1670198400000,182.45,162.299
1670284800000,179.82,162.299
1670371200000,174.04,162.299
1670457600000,173.44,162.299
1670544000000,179.05,162.299
1670803200000,167.82,162.299
1670889600000,160.95,162.299
1670976000000,156.8,162.299
1671062400000,157.67,162.299
1671148800000,150.23,162.299
1671408000000,149.87,162.299
1671494400000,137.8,162.299
1671580800000,137.57,162.299
1671667200000,125.35,162.299
1671753600000,123.15,162.299
1672099200000,109.1,162.299
1672185600000,112.71,162.299
1672272000000,121.82,162.299
1672358400000,123.18,162.299
1672704000000,108.1,162.299
1672790400000,113.64,162.299
1672876800000,110.34,162.299
1672963200000,113.06,162.299
1673222400000,119.77,162.299
1673308800000,118.85,162.299
1673395200000,123.22,162.299
1673481600000,123.56,162.299
1673568000000,122.4,162.299
1673913600000,131.49,162.299
1674000000000,128.78,162.299
1674086400000,127.17,162.299
1674172800000,133.42,162.299
1674432000000,143.75,162.299
1674518400000,143.89,162.299
1674604800000,144.43,162.299
1674691200000,160.27,162.251
1674777600000,177.9,179.881
1675036800000,166.66,168.641
1675123200000,173.22,175.201
1675209600000,181.41,183.391
1675296000000,188.27,190.251
1675382400000,189.98,191.961
1675641600000,194.76,196.741
1675728000000,196.81,198.791
1675814400000,201.29,203.271
1675900800000,207.32,209.301
1675987200000,196.89,198.871
1676246400000,194.64,196.621
1676332800000,209.25,211.231
1676419200000,214.24,216.221
1676505600000,202.04,204.021
1676592000000,208.31,210.291
1676937600000,197.37,199.351
